age,salary
50,100592
36,38110
29,109309
42,57266
40,82992
44,112948
32,36910
32,30206
45,117054
57,117897
45,53419
24,80636
43,80015
23,84268
45,117939
51,48141
59,110356
23,101910
42,86044
54,97214
33,63827
43,85820
46,92623
48,111734
49,105450
37,52299
36,73585
24,94044
58,72557
28,79080
42,32693
30,99163
39,55939
25,78925
46,72941
35,51834
30,48047
47,56105
23,105766
41,45707
49,51976
28,74262
29,53776
56,60080
35,96842
38,91373
57,36776
25,85016
23,39474
27,88053
25,51959
50,35530
39,33748
47,43545
55,96199
31,64766
57,103530
35,91087
52,98840
36,84384
29,81005
35,76576
44,69353
42,92003
37,113211
39,82733
45,95318
47,119474
46,53664
50,97172
36,115616
22,56736
46,30854
28,68623
30,37392
45,85680
22,76717
29,117092
45,80859
32,56309
38,117455
29,93734
56,100467
56,82662
54,42688
26,55342
49,67157
28,97863
30,82083
29,95733
33,119045
55,64698
54,110623
44,52671
45,55184
58,72107
56,116202
43,81663
48,45708
56,79811
